id,name,first,last,wim_seed,wim_rd,wim_next,p1,p2,p3,p4,p5
alcar,Carlos Alcaraz,Carlos,Alcaraz,1,7,djoko,0.67,0.93,0.73,0.86,0.52
djoko,Novak Djokovic,Novak,Djokovic,2,7,alcar,0.75,0.95,0.75,0.85,0.51
medve,Daniil Medvedev,Daniil,Medvedev,3,6,alcar,0.73,0.92,0.68,0.81,0.5
sinne,Jannik Sinner,Jannik,Sinner,8,6,djoko,0.68,0.89,0.75,0.79,0.49
euban,Christopher Eubanks,Christopher,Eubanks,,5,alcar,0.72,0.93,0.7,0.78,0.48
ruble,Andrey Rublev,Andrey,Rublev,7,5,djoko,0.62,0.94,0.75,0.78,0.49
rune,Holger Rune,Holger,Rune,6,5,alcar,0.7,0.89,0.72,0.77,0.49
safiu,Roman Safiullin,Roman,Safiullin,,5,sinne,0.7,0.89,0.68,0.72,0.48
berre,Matteo Berrettini,Matteo,Berrettini,,4,alcar,0.71,0.91,0.68,0.68,0.48
bubli,Alexander Bublik,Alexander,Bublik,23,4,ruble,0.7,0.9,0.57,0.64,0.48
dimit,Grigor Dimitrov,Grigor,Dimitrov,21,4,rune,0.71,0.91,0.73,0.74,0.48
galan,Daniel Galan,Daniel,Galan,,4,sinne,0.6,0.91,0.6,0.78,0.48
hurka,Hubert Hurkacz,Hubert,Hurkacz,17,4,djoko,0.68,0.9,0.69,0.74,0.48
lehec,Jiri Lehecka,Jiri,Lehecka,,4,medve,0.65,0.88,0.65,0.74,0.48
shapo,Denis Shapovalov,Denis,Shapovalov,26,4,safiu,0.63,0.9,0.73,0.73,0.48
tsits,Stefanos Tsitsipas,Stefanos,Tsitsipas,5,4,medve,0.71,0.88,0.7,0.84,0.5
agame,Franco Agamenone,Franco,Agamenone,,,,,,,,
albot,Radu Albot,Radu,Albot,,,,,,,,
altma,Daniel Altmaier,Daniel,Altmaier,,,,,,,,
arnal,Matteo Arnaldi,Matteo,Arnaldi,,,,,,,,
auger,Felix Auger-Aliassime,Felix,Auger-Aliassime,12,,,,,,,
baez,Sebastian Baez,Sebastian,Baez,,,,,,,,
bagni,Facundo Bagnis,Facundo,Bagnis,,,,,,,,
barre,Gregoire Barrere,Gregoire,Barrere,,,,,,,,
barri,Tomas Barrios Vera,Tomas,Barrios Vera,,,,,,,,
basil,Nikoloz Basilashvili,Nikoloz,Basilashvili,,,,,,,,
bauti,Roberto Bautista Agut,Roberto,Bautista Agut,,,,,,,,
bergs,Zizou Bergs,Zizou,Bergs,,,,,,,,
bonzi,Benjamin Bonzi,Benjamin,Bonzi,,,,,,,,
borge,Nuno Borges,Nuno,Borges,,,,,,,,
branc,Raul Brancaccio,Raul,Brancaccio,,,,,,,,
broad,Liam Broady,Liam,Broady,,,,,,,,
brook,Jenson Brooksby,Jenson,Brooksby,,,,,,,,
brouw,Gijs Brouwer,Gijs,Brouwer,,,,,,,,
cachi,Pedro Cachin,Pedro,Cachin,,,,,,,,
carab,Camilo Ugo Carabelli,Camilo Ugo,Carabelli,,,,,,,,
carba,Roberto Carballes Baena,Roberto,Carballes Baena,,,,,,,,
carre,Pablo Carreno Busta,Pablo,Carreno Busta,,,,,,,,
cecch,Marco Cecchinato,Marco,Cecchinato,,,,,,,,
ceruf,Francisco Cerundolo,Francisco,Cerundolo,,,,,,,,
ceruj,Juan Manuel Cerundolo,Juan Manuel,Cerundolo,,,,,,,,
