id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l
sabal,Aryna Sabalenka,Aryna,Sabalenka,1,2,0.62,0.89,0.34,0.50,0.40,0.13,BLR,28,5,2,7,3
rybak,Elena Rybakina,Elena,Rybakina,2,2,0.56,0.88,0.33,0.46,0.43,0.17,KAZ,27,3,3,5,5
swiat,Iga Swiatek,Iga,Swiatek,3,2,0.64,0.81,0.40,0.49,0.45,0.08,POL,25,2,2,6,4
pegul,Jessica Pegula,Jessica,Pegula,4,2,0.62,0.94,0.37,0.49,0.40,0.09,USA,32,7,2,7,3
andre,Mirra Andreeva,Mirra,Andreeva,5,2,0.61,0.87,0.36,0.47,0.38,0.09,RUS,19,1,2,8,2
anisi,Amanda Anisimova,Amanda,Anisimova,6,2,0.64,0.81,0.35,0.50,0.42,0.10,USA,24,3,2,6,4
gauff,Cori Gauff,Cori,Gauff,7,2,0.57,0.84,0.36,0.46,0.43,0.12,USA,22,5,2,7,3
svito,Elina Svitolina,Elina,Svitolina,8,2,0.59,0.87,0.37,0.55,0.37,0.10,UKR,31,3,2,7,3
mucho,Karolina Muchova,Karolina,Muchova,9,2,0.62,0.92,0.34,0.46,0.44,0.13,CZE,29,11,1,10,0
mboko,Victoria Mboko,Victoria,Mboko,10,2,0.66,0.74,0.33,0.50,0.42,0.11,CAN,19,0,1,5,5
benci,Belinda Bencic,Belinda,Bencic,11,2,0.66,0.88,0.34,0.51,0.42,0.04,SUI,29,3,1,7,3
nosko,Linda Noskova,Linda,Noskova,12,2,0.63,0.85,0.32,0.50,0.44,0.15,CZE,21,11,1,9,1
kosty,Marta Kostyuk,Marta,Kostyuk,13,2,0.57,0.87,0.36,0.50,0.41,0.09,UKR,23,5,1,8,2
osaka,Naomi Osaka,Naomi,Osaka,14,2,0.57,0.92,0.35,0.49,0.42,0.20,JPN,28,8,2,8,2
shnai,Diana Shnaider,Diana,Shnaider,15,2,0.63,0.88,0.31,0.50,0.38,0.04,RUS,22,1,3,6,4
jovic,Iva Jovic,Iva,Jovic,16,2,0.61,0.91,0.38,0.53,0.38,0.04,USA,18,6,2,7,3
paoli,Jasmine Paolini,Jasmine,Paolini,17,2,0.66,0.94,0.34,0.48,0.36,0.02,ITA,30,4,2,6,4
cirst,Sorana Cirstea,Sorana,Cirstea,18,2,0.60,0.89,0.33,0.44,0.37,0.11,ROU,36,3,2,7,3
alexa,Ekaterina Alexandrova,Ekaterina,Alexandrova,19,2,0.61,0.87,0.35,0.47,0.39,0.13,RUS,31,5,4,5,5
kalin,Anna Kalinskaya,Anna,Kalinskaya,20,2,0.63,0.86,0.30,0.48,0.40,0.09,RUS,27,3,3,6,4
chwal,Maja Chwalinska,Maja,Chwalinska,21,2,0.70,0.91,0.39,0.40,0.30,0.02,POL,24,0,1,8,2
keys,Madison Keys,Madison,Keys,22,2,0.65,0.89,0.35,0.47,0.43,0.10,USA,31,10,2,8,2
bouzk,Marie Bouzkova,Marie,Bouzkova,23,2,0.71,0.86,0.36,0.49,0.40,0.04,CZE,27,9,2,8,2
ferna,Leylah Annie Fernandez,Leylah,Annie Fernandez,24,2,0.63,0.85,0.33,0.45,0.39,0.07,CAN,23,1,4,3,7
tauso,Clara Tauson,Clara,Tauson,25,2,0.60,0.87,0.28,0.43,0.38,0.16,DEN,23,2,4,2,8
navar,Emma Navarro,Emma,Navarro,26,2,0.62,0.90,0.34,0.46,0.39,0.07,USA,25,8,4,7,3
merte,Elise Mertens,Elise,Mertens,27,2,0.58,0.83,0.34,0.50,0.41,0.12,BEL,30,7,3,7,3
potap,Anastasia Potapova,Anastasia,Potapova,28,2,0.52,0.88,0.29,0.39,0.38,0.04,AUT,25,1,3,5,5
li,Ann Li,Ann,Li,29,2,0.60,0.90,0.36,0.44,0.35,0.15,USA,25,2,3,5,5
bapti,Hailey Baptiste,Hailey,Baptiste,30,2,0.55,0.89,0.36,0.40,0.37,0.08,USA,24,0,0,6,4
ostap,Jelena Ostapenko,Jelena,Ostapenko,31,2,0.57,0.77,0.42,0.53,0.42,0.15,LAT,29,5,2,6,4
eala,Alexandra Eala,Alexandra,Eala,32,2,0.63,0.92,0.38,0.50,0.39,0.04,PHI,21,12,4,6,4
raduc,Emma Raducanu,Emma,Raducanu,33,2,0.68,0.87,0.41,0.51,0.38,0.05,GBR,23,4,1,5,5
vekic,Donna Vekic,Donna,Vekic,34,2,0.58,0.89,0.36,0.49,0.40,0.11,CRO,29,6,3,6,4
bucsa,Cristina Bucsa,Cristina,Bucsa,35,2,0.66,0.88,0.37,0.45,0.39,0.04,ESP,28,0,0,4,6
sinia,Katerina Siniakova,Katerina,Siniakova,36,2,0.61,0.84,0.34,0.47,0.42,0.07,CZE,30,4,3,5,5
crist,Jaqueline Cristian,Jaqueline,Cristian,37,2,0.62,0.88,0.23,0.38,0.36,0.08,ROU,28,1,2,4,6
krejc,Barbora Krejcikova,Barbora,Krejcikova,38,2,0.63,0.86,0.38,0.45,0.40,0.09,CZE,30,7,2,7,3
wang,Xinyu Wang,Xinyu,Wang,39,2,,,,,,0.05,,25,0,0,0,0
siege,Laura Siegemund,Laura,Siegemund,40,2,0.74,0.88,0.33,0.51,0.39,0.01,GER,38,1,3,4,6
samso,Liudmila Samsonova,Liudmila,Samsonova,41,2,0.56,0.87,0.34,0.49,0.39,0.12,RUS,27,3,4,3,7
tjen,Janice Tjen,Janice,Tjen,42,2,0.65,0.90,0.31,0.43,0.38,0.06,INA,24,2,5,3,7
sakka,Maria Sakkari,Maria,Sakkari,43,2,0.55,0.89,0.27,0.46,0.38,0.10,GRE,30,2,3,4,6
frech,Magdalena Frech,Magdalena,Frech,44,2,0.58,0.88,0.30,0.43,0.35,0.09,POL,28,1,4,3,7
bejle,Sara Bejlek,Sara,Bejlek,45,2,0.61,0.90,0.37,0.39,0.34,0.03,CZE,20,1,3,2,8
cocci,Elisabetta Cocciaretto,Elisabetta,Cocciaretto,46,2,0.58,0.86,0.35,0.47,0.40,0.06,ITA,25,0,2,4,6
marci,Petra Marcinko,Petra,Marcinko,47,2,,,,,,0.05,,20,0,0,0,0
bartu,Nikola Bartunkova,Nikola,Bartunkova,48,2,0.56,0.87,0.35,0.45,0.41,0.12,CZE,20,8,4,6,4
parry,Diane Parry,Diane,Parry,49,2,0.58,0.86,0.34,0.43,0.42,0.14,FRA,23,5,3,6,4
mcnal,Caty McNally,Caty,McNally,50,2,0.72,0.80,0.39,0.48,0.38,0.04,USA,24,6,4,6,4
sonme,Zeynep Sonmez,Zeynep,Sonmez,51,2,,,,,,0.05,,24,0,0,0,0
manei,Jessica Bouzas Maneiro,Jessica,Bouzas Maneiro,52,2,0.61,0.87,0.38,0.47,0.36,0.05,ESP,23,5,4,5,5
oliyn,Oleksandra Oliynykova,Oleksandra,Oliynykova,53,2,0.67,0.87,0.31,0.35,0.15,0.02,UKR,25,0,2,5,5
valen,Tereza Valentova,Tereza,Valentova,54,2,,,,,,0.05,,19,0,0,0,0
staro,Yuliia Starodubtseva,Yuliia,Starodubtseva,55,2,,,,,,0.05,,26,0,0,0,0
sierr,Solana Sierra,Solana,Sierra,56,2,,,,,,0.05,,22,0,0,0,0
kessl,Mccartney Kessler,Mccartney,Kessler,57,2,,,,,,0.05,,27,0,0,0,0
gibso,Talia Gibson,Talia,Gibson,58,2,,,,,,0.05,,22,0,0,0,0
linet,Magda Linette,Magda,Linette,59,2,,,,,,0.05,,34,0,0,0,0
boult,Katie Boulter,Katie,Boulter,60,2,,,,,,0.05,,29,0,0,0,0
ruzic,Antonia Ruzic,Antonia,Ruzic,61,2,,,,,,0.05,,23,0,0,0,0
golub,Viktorija Golubic,Viktorija,Golubic,62,2,,,,,,0.05,,33,0,0,0,0
stear,Peyton Stearns,Peyton,Stearns,63,2,,,,,,0.05,,24,0,0,0,0
zhang,Shuai Zhang,Shuai,Zhang,64,2,,,,,,0.05,,37,0,0,0,0
kasat,Daria Kasatkina,Daria,Kasatkina,65,2,,,,,,0.05,,29,0,0,0,0
kalin1,Anhelina Kalinina,Anhelina,Kalinina,66,2,,,,,,0.05,,29,0,0,0,0
yastr,Dayana Yastremska,Dayana,Yastremska,67,2,,,,,,0.05,,26,0,0,0,0
serra,Maria Camila Osorio Serrano,Maria,Camila Osorio Serrano,68,2,,,,,,0.05,,24,0,0,0,0
udvar,Panna Udvardy,Panna,Udvardy,69,2,,,,,,0.05,,27,0,0,0,0
