id,p1,p2,p3,p4,p5,p6
sinne,0.61,0.95,0.38,0.49,0.46,0.11
alcar,0.66,0.91,0.38,0.51,0.42,0.06
zvere,0.71,0.89,0.34,0.49,0.44,0.11
auger,0.66,0.89,0.32,0.44,0.41,0.13
shelt,0.65,0.88,0.26,0.40,0.45,0.14
demin,0.54,0.92,0.34,0.48,0.41,0.05
fritz,0.62,0.95,0.27,0.41,0.41,0.19
djoko,0.67,0.93,0.34,0.49,0.43,0.09
medve,0.61,0.86,0.36,0.47,0.38,0.10
cobol,0.55,0.92,0.34,0.46,0.40,0.10
bubli,0.62,0.84,0.29,0.44,0.40,0.18
ruud,0.65,0.91,0.33,0.49,0.42,0.09
ruble,0.61,0.93,0.33,0.46,0.39,0.11
lehec,0.65,0.94,0.30,0.43,0.39,0.12
muset,0.66,0.94,0.34,0.46,0.39,0.05
darde,0.57,0.93,0.34,0.46,0.40,0.11
tien,0.60,0.88,0.34,0.46,0.39,0.07
mensi,0.58,0.89,0.31,0.44,0.40,0.16
tiafo,0.57,0.94,0.29,0.47,0.41,0.12
vache,0.65,0.92,0.35,0.45,0.40,0.09
cerun,0.63,0.90,0.36,0.50,0.40,0.07
khach,0.65,0.95,0.30,0.47,0.39,0.09
fokin,0.70,0.94,0.33,0.45,0.36,0.03
fils,0.62,0.90,0.33,0.46,0.42,0.07
paul,0.61,0.94,0.34,0.48,0.40,0.08
jodar,0.63,0.92,0.37,0.47,0.40,0.07
fonse,0.66,0.94,0.30,0.47,0.41,0.07
rinde,0.61,0.90,0.28,0.42,0.41,0.18
norri,0.63,0.92,0.31,0.46,0.38,0.06
humbe,0.58,0.89,0.30,0.43,0.40,0.12
nakas,0.64,0.96,0.29,0.45,0.38,0.13
etche,0.64,0.93,0.30,0.45,0.40,0.09
tabil,0.62,0.93,0.32,0.46,0.41,0.10
buse,0.62,0.93,0.36,0.47,0.38,0.07
arnal,0.59,0.91,0.33,0.45,0.38,0.09
block,0.60,0.93,0.31,0.45,0.42,0.11
bergs,0.61,0.87,0.33,0.43,0.41,0.13
navon,0.70,0.90,0.39,0.52,0.37,0.02
moute,0.65,0.92,0.35,0.47,0.38,0.04
manna,0.62,0.92,0.29,0.42,0.32,0.05
shapo,0.56,0.82,0.30,0.37,0.41,0.11
cerun1,0.60,0.91,0.34,0.49,0.39,0.08
colli,0.63,0.84,0.37,0.49,0.42,0.11
clar,0.65,0.89,0.35,0.47,0.37,0.05
majch,0.60,0.95,0.30,0.47,0.40,0.11
miche,0.65,0.90,0.31,0.44,0.37,0.08
quinn,0.62,0.91,0.27,0.42,0.38,0.10
borge,0.63,0.92,0.33,0.43,0.38,0.10
macha,0.62,0.91,0.32,0.45,0.38,0.07
kecma,0.61,0.94,0.33,0.46,0.40,0.06
berre,0.65,0.94,0.30,0.40,0.42,0.12
atman,0.61,0.90,0.26,0.41,0.40,0.12
maroz,0.64,0.93,0.31,0.45,0.40,0.06
zands,0.62,0.87,0.35,0.46,0.38,0.08
tiran,0.62,0.92,0.32,0.43,0.41,0.12
hanfm,0.65,0.93,0.31,0.44,0.41,0.10
baez,0.71,0.91,0.36,0.49,0.37,0.03
griek,0.62,0.89,0.29,0.42,0.41,0.12
carab,0.63,0.92,0.35,0.47,0.37,0.06
landa,0.62,0.86,0.33,0.46,0.39,0.06
altma,0.61,0.93,0.33,0.46,0.38,0.11
cilic,0.55,0.92,0.32,0.38,0.39,0.14
korda,0.61,0.94,0.31,0.43,0.39,0.11
kopri,0.63,0.89,0.35,0.48,0.37,0.06
burru,0.62,0.87,0.38,0.48,0.38,0.04
svajd,0.59,0.95,0.25,0.43,0.37,0.12
bellu,0.58,0.89,0.31,0.40,0.38,0.10
medje,0.65,0.89,0.32,0.45,0.40,0.13
soneg,0.65,0.92,0.28,0.41,0.38,0.08
kovac,0.59,0.89,0.28,0.41,0.40,0.11
carre,0.66,0.93,0.34,0.48,0.39,0.06
valle,0.62,0.89,0.37,0.49,0.38,0.06
jong,0.59,0.89,0.35,0.46,0.39,0.13
struf,0.55,0.91,0.28,0.45,0.40,0.16
