id,p1,p2,p3,p4,p5,p6
bubli,0.65,0.87,0.21,0.39,0.44,0.19
ruud,0.66,0.92,0.21,0.52,0.42,0.06
ruble,0.62,0.92,0.31,0.46,0.46,0.19
darde,0.56,0.94,0.28,0.51,0.41,0.11
vache,0.66,0.86,0.27,0.33,0.45,0.18
fokin,0.60,0.96,0.32,0.54,0.35,0.12
rinde,0.64,0.87,0.27,0.40,0.41,0.22
etche,0.69,0.95,0.26,0.42,0.37,0.08
tabil,0.66,0.93,0.25,0.46,0.34,0.09
buse,0.57,0.95,0.33,0.45,0.35,0.07
arnal,0.52,0.94,0.30,0.50,0.41,0.13
block,0.53,0.87,0.35,0.44,0.35,0.12
navon,0.74,0.89,0.40,0.42,0.36,0.05
cerun1,0.51,0.92,0.28,0.38,0.40,0.14
colli,0.61,0.84,0.26,0.41,0.41,0.13
borge,0.69,0.93,0.31,0.51,0.38,0.11
kecma,0.64,0.95,0.29,0.44,0.37,0.07
zands,0.59,0.84,0.35,0.34,0.37,0.13
tiran,0.62,0.85,0.32,0.51,0.42,0.08
hanfm,0.59,0.96,0.33,0.35,0.43,0.25
baez,0.69,0.94,0.26,0.47,0.38,0.04
carab,0.58,0.89,0.34,0.42,0.35,0.09
altma,0.65,0.92,0.30,0.48,0.35,0.09
kopri,0.60,0.86,0.29,0.39,0.32,0.04
burru,0.60,0.89,0.35,0.53,0.36,0.05
soneg,0.56,0.94,0.18,0.36,0.49,0.15
carre,0.67,0.96,0.37,0.44,0.40,0.08
valle,0.63,0.87,0.33,0.44,0.39,0.04
jong,0.58,0.87,0.33,0.45,0.33,0.27
struf,0.51,0.88,0.27,0.31,0.37,0.26
royer,0.62,0.97,0.37,0.46,0.33,0.07
assch,0.67,0.84,0.35,0.51,0.39,0.05
aguil,0.66,0.87,0.42,0.44,0.46,0.04
tsits,0.63,0.93,0.24,0.48,0.51,0.12
prizm,0.55,0.89,0.36,0.48,0.42,0.13
trung,0.60,0.84,0.34,0.54,0.38,0.07
halys,0.57,0.89,0.26,0.38,0.50,0.28
faria,0.59,0.87,0.30,0.39,0.41,0.16
shevc,0.61,0.88,0.21,0.43,0.45,0.14
choin,0.65,0.93,0.35,0.50,0.42,0.14
molca,0.65,0.94,0.32,0.45,0.39,0.05
molca1,0.65,0.94,0.32,0.45,0.39,0.05
dzumh,0.64,0.96,0.40,0.47,0.36,0.02
wawri,0.55,0.95,0.28,0.45,0.32,0.15
ofner,0.56,0.89,0.26,0.35,0.38,0.12
basil,0.47,0.83,0.32,0.41,0.35,0.18
svrci,0.59,0.85,0.37,0.48,0.37,0.06
drogu,0.59,0.90,0.33,0.47,0.35,0.10
gasto,0.50,0.96,0.36,0.49,0.38,0.05
