id,p1,p2,p3,p4,p5,p6
sinne,0.64,0.94,0.32,0.52,0.45,0.19
alcar,0.66,0.92,0.34,0.49,0.43,0.11
zvere,0.72,0.92,0.28,0.46,0.41,0.17
auger,0.67,0.88,0.29,0.43,0.42,0.21
shelt,0.67,0.90,0.25,0.41,0.43,0.19
demin,0.58,0.92,0.31,0.49,0.42,0.11
fritz,0.65,0.93,0.27,0.46,0.41,0.23
djoko,0.66,0.91,0.31,0.49,0.43,0.15
medve,0.64,0.85,0.34,0.50,0.40,0.17
cobol,0.55,0.91,0.27,0.42,0.38,0.14
bubli,0.62,0.84,0.27,0.41,0.40,0.24
ruud,0.67,0.93,0.26,0.42,0.40,0.14
ruble,0.61,0.91,0.29,0.44,0.41,0.17
lehec,0.63,0.93,0.28,0.42,0.39,0.16
muset,0.64,0.92,0.29,0.48,0.40,0.10
darde,0.60,0.90,0.25,0.44,0.36,0.17
tien,0.62,0.88,0.31,0.50,0.40,0.11
mensi,0.60,0.88,0.30,0.44,0.39,0.24
tiafo,0.59,0.94,0.27,0.45,0.39,0.17
vache,0.66,0.89,0.28,0.43,0.41,0.19
cerun,0.61,0.91,0.30,0.48,0.38,0.08
khach,0.64,0.93,0.27,0.45,0.40,0.16
fokin,0.67,0.92,0.28,0.47,0.39,0.09
fils,0.63,0.91,0.27,0.45,0.41,0.13
paul,0.61,0.94,0.31,0.47,0.41,0.14
jodar,0.62,0.93,0.34,0.49,0.40,0.10
fonse,0.67,0.92,0.29,0.44,0.41,0.14
rinde,0.64,0.91,0.24,0.39,0.38,0.20
norri,0.65,0.93,0.27,0.46,0.39,0.10
humbe,0.63,0.92,0.26,0.44,0.41,0.16
nakas,0.67,0.96,0.26,0.43,0.39,0.19
etche,0.65,0.94,0.27,0.44,0.38,0.16
tabil,0.67,0.93,0.27,0.43,0.38,0.15
buse,0.60,0.89,0.31,0.42,0.37,0.11
arnal,0.57,0.90,0.29,0.43,0.37,0.14
block,0.62,0.94,0.33,0.42,0.39,0.15
bergs,0.59,0.89,0.28,0.44,0.40,0.16
navon,0.65,0.90,0.32,0.45,0.37,0.05
moute,0.64,0.90,0.32,0.47,0.36,0.07
manna,0.60,0.93,0.28,0.46,0.37,0.11
shapo,0.60,0.83,0.31,0.47,0.41,0.19
cerun1,0.59,0.91,0.30,0.44,0.37,0.10
colli,0.65,0.82,0.31,0.46,0.41,0.13
clar,0.63,0.91,0.30,0.45,0.40,0.11
majch,0.63,0.95,0.28,0.47,0.37,0.12
miche,0.67,0.91,0.28,0.46,0.38,0.11
quinn,0.62,0.90,0.28,0.42,0.39,0.16
borge,0.65,0.91,0.26,0.44,0.38,0.12
macha,0.62,0.92,0.28,0.45,0.39,0.12
kecma,0.61,0.92,0.27,0.47,0.38,0.12
berre,0.67,0.94,0.27,0.40,0.40,0.21
atman,0.59,0.89,0.27,0.45,0.40,0.18
maroz,0.65,0.92,0.28,0.45,0.38,0.10
zands,0.62,0.86,0.29,0.45,0.39,0.15
tiran,0.59,0.92,0.31,0.43,0.39,0.20
hanfm,0.65,0.94,0.29,0.43,0.39,0.18
baez,0.74,0.91,0.29,0.48,0.35,0.04
griek,0.66,0.89,0.22,0.41,0.40,0.18
carab,0.59,0.91,0.24,0.43,0.35,0.08
landa,0.64,0.86,0.30,0.46,0.39,0.10
altma,0.62,0.91,0.24,0.42,0.35,0.16
cilic,0.57,0.90,0.23,0.47,0.41,0.26
korda,0.61,0.92,0.30,0.46,0.40,0.20
kopri,0.60,0.86,0.31,0.47,0.37,0.09
burru,0.60,0.87,0.31,0.49,0.37,0.08
svajd,0.60,0.92,0.31,0.47,0.39,0.14
bellu,0.62,0.90,0.30,0.45,0.39,0.14
medje,0.64,0.88,0.27,0.43,0.39,0.19
soneg,0.66,0.92,0.27,0.41,0.38,0.13
kovac,0.61,0.90,0.25,0.40,0.40,0.22
carre,0.66,0.94,0.28,0.49,0.37,0.07
valle,0.62,0.87,0.34,0.47,0.35,0.06
jong,0.58,0.90,0.28,0.46,0.37,0.15
struf,0.60,0.90,0.27,0.45,0.39,0.19
royer,0.63,0.92,0.28,0.44,0.38,0.13
fucso,0.61,0.90,0.31,0.47,0.40,0.10
rune,0.62,0.89,0.29,0.45,0.41,0.14
cazau,0.59,0.94,0.30,0.45,0.38,0.18
duckw,0.58,0.91,0.26,0.44,0.40,0.19
assch,0.63,0.90,0.32,0.50,0.39,0.09
brook,0.64,0.92,0.28,0.47,0.36,0.07
hijik,0.60,0.91,0.31,0.46,0.37,0.10
perri,0.68,0.86,0.22,0.31,0.42,0.29
aguil,0.66,0.88,0.35,0.48,0.37,0.06
walto,0.63,0.93,0.29,0.45,0.39,0.15
nava,0.64,0.89,0.28,0.41,0.38,0.18
tsits,0.62,0.91,0.27,0.42,0.42,0.16
diall,0.68,0.89,0.28,0.42,0.38,0.17
prizm,0.61,0.89,0.31,0.47,0.40,0.10
shima,0.57,0.91,0.32,0.44,0.38,0.15
comes,0.62,0.89,0.26,0.44,0.36,0.18
giron,0.61,0.95,0.29,0.46,0.39,0.11
bonzi,0.64,0.93,0.27,0.46,0.40,0.12
trung,0.58,0.87,0.28,0.46,0.35,0.11
halys,0.61,0.89,0.26,0.42,0.40,0.24
hurka,0.65,0.94,0.25,0.40,0.38,0.26
spizz,0.68,0.93,0.32,0.47,0.38,0.11
faria,0.58,0.87,0.32,0.45,0.38,0.14
shevc,0.63,0.92,0.26,0.43,0.37,0.13
choin,0.65,0.95,0.27,0.42,0.36,0.11
molca,0.67,0.92,0.27,0.46,0.35,0.09
molca1,0.67,0.92,0.27,0.46,0.35,0.09
wu,0.61,0.91,0.33,0.45,0.39,0.10
popyr,0.62,0.91,0.25,0.39,0.38,0.22
vukic,0.58,0.94,0.25,0.40,0.38,0.19
dzumh,0.65,0.91,0.30,0.45,0.36,0.03
damm,0.63,0.86,0.27,0.40,0.42,0.29
yunch,0.58,0.95,0.27,0.45,0.40,0.15
wong,0.60,0.93,0.30,0.44,0.37,0.20
