id,p1,p2,p3,p4,p5,p6
zvere,0.65,0.81,0.26,0.36,0.45,0.20
auger,0.59,0.81,0.34,0.42,0.40,0.26
shelt,0.67,0.91,0.33,0.43,0.44,0.11
demin,0.55,0.89,0.28,0.45,0.39,0.12
fritz,0.60,0.91,0.21,0.50,0.41,0.26
medve,0.58,0.75,0.28,0.44,0.37,0.18
cobol,0.57,0.93,0.31,0.48,0.37,0.15
ruud,0.58,0.79,0.26,0.52,0.49,0.07
ruble,0.56,0.88,0.35,0.34,0.35,0.18
lehec,0.62,0.93,0.25,0.35,0.40,0.15
muset,0.58,0.88,0.26,0.54,0.39,0.09
darde,0.62,0.89,0.24,0.40,0.37,0.08
tien,0.64,0.89,0.31,0.48,0.36,0.07
mensi,0.59,0.89,0.28,0.43,0.38,0.20
tiafo,0.50,0.94,0.25,0.53,0.42,0.13
vache,0.63,0.81,0.26,0.38,0.31,0.25
cerun,0.57,0.95,0.22,0.34,0.33,0.13
khach,0.51,0.92,0.19,0.40,0.38,0.21
fils,0.63,0.91,0.31,0.50,0.44,0.14
paul,0.61,0.92,0.29,0.38,0.37,0.14
jodar,0.62,0.89,0.33,0.47,0.39,0.08
fonse,0.64,0.92,0.26,0.42,0.38,0.08
rinde,0.60,0.86,0.25,0.44,0.40,0.22
norri,0.57,0.89,0.28,0.47,0.40,0.08
humbe,0.54,0.79,0.26,0.40,0.36,0.10
nakas,0.60,0.94,0.26,0.45,0.41,0.24
etche,0.62,0.91,0.18,0.30,0.38,0.10
tabil,0.62,0.92,0.24,0.35,0.36,0.14
buse,0.53,0.96,0.18,0.50,0.31,0.11
arnal,0.51,0.88,0.29,0.37,0.34,0.18
block,0.54,0.86,0.29,0.38,0.38,0.23
bergs,0.55,0.83,0.26,0.37,0.46,0.18
navon,0.69,0.93,0.27,0.44,0.40,0.02
moute,0.60,0.91,0.35,0.44,0.34,0.07
manna,0.53,0.86,0.24,0.38,0.34,0.09
shapo,0.57,0.82,0.33,0.46,0.39,0.14
cerun1,0.50,0.90,0.23,0.31,0.40,0.21
colli,0.60,0.81,0.16,0.39,0.34,0.15
majch,0.56,0.92,0.20,0.45,0.34,0.17
miche,0.58,0.88,0.25,0.50,0.41,0.13
borge,0.64,0.89,0.26,0.45,0.42,0.21
kecma,0.57,0.89,0.26,0.46,0.35,0.08
berre,0.61,0.94,0.26,0.40,0.43,0.13
atman,0.58,0.90,0.20,0.43,0.43,0.18
maroz,0.61,0.93,0.24,0.42,0.38,0.12
zands,0.60,0.82,0.28,0.47,0.38,0.07
tiran,0.51,0.93,0.28,0.39,0.43,0.26
hanfm,0.57,0.88,0.36,0.45,0.34,0.16
baez,0.61,0.89,0.24,0.45,0.41,0.04
griek,0.61,0.85,0.24,0.43,0.43,0.14
carab,0.61,0.87,0.30,0.35,0.31,0.08
landa,0.52,0.82,0.26,0.45,0.39,0.10
altma,0.56,0.89,0.21,0.47,0.32,0.13
cilic,0.56,0.92,0.25,0.45,0.38,0.12
kopri,0.62,0.92,0.29,0.42,0.37,0.13
burru,0.64,0.84,0.25,0.40,0.35,0.15
svajd,0.58,0.90,0.28,0.41,0.34,0.11
bellu,0.61,0.90,0.20,0.48,0.41,0.12
medje,0.62,0.80,0.17,0.34,0.33,0.17
soneg,0.66,0.89,0.25,0.30,0.39,0.19
kovac,0.49,0.85,0.23,0.34,0.38,0.18
carre,0.56,0.82,0.27,0.48,0.36,0.08
valle,0.57,0.86,0.26,0.47,0.40,0.13
jong,0.56,0.82,0.32,0.45,0.38,0.15
struf,0.54,0.88,0.25,0.41,0.34,0.23
royer,0.59,0.88,0.33,0.52,0.38,0.08
duckw,0.50,0.90,0.30,0.42,0.42,0.17
assch,0.62,0.76,0.26,0.51,0.44,0.07
brook,0.64,0.97,0.28,0.44,0.36,0.07
hijik,0.60,0.91,0.26,0.48,0.39,0.08
perri,0.60,0.91,0.22,0.44,0.29,0.22
aguil,0.63,0.88,0.29,0.49,0.36,0.07
walto,0.60,0.94,0.31,0.39,0.37,0.13
tsits,0.56,0.89,0.27,0.45,0.36,0.17
diall,0.63,0.86,0.23,0.36,0.42,0.15
prizm,0.50,0.84,0.26,0.33,0.38,0.21
shima,0.55,0.90,0.33,0.44,0.34,0.08
comes,0.58,0.90,0.35,0.44,0.28,0.15
giron,0.55,0.93,0.28,0.41,0.37,0.08
bonzi,0.60,0.86,0.29,0.37,0.38,0.15
trung,0.60,0.84,0.34,0.45,0.34,0.08
halys,0.56,0.89,0.23,0.44,0.43,0.31
hurka,0.67,0.86,0.33,0.37,0.39,0.23
faria,0.57,0.83,0.32,0.41,0.39,0.20
shevc,0.52,0.86,0.26,0.41,0.38,0.18
choin,0.62,0.90,0.19,0.30,0.37,0.15
wu,0.63,0.87,0.26,0.46,0.38,0.05
popyr,0.61,0.87,0.26,0.35,0.38,0.16
vukic,0.59,0.95,0.25,0.44,0.41,0.20
dzumh,0.63,0.95,0.30,0.43,0.42,0.07
damm,0.65,0.82,0.22,0.40,0.39,0.18
yunch,0.52,0.91,0.17,0.43,0.36,0.09
wong,0.53,0.88,0.24,0.46,0.40,0.26
wawri,0.51,0.92,0.25,0.17,0.42,0.08
ofner,0.52,0.84,0.30,0.40,0.33,0.12
basil,0.50,0.89,0.24,0.13,0.35,0.14
svrci,0.57,0.84,0.37,0.42,0.35,0.05
fery,0.53,0.93,0.27,0.33,0.36,0.14
drogu,0.58,0.90,0.29,0.48,0.41,0.18
gasto,0.53,0.90,0.32,0.55,0.38,0.05
ruiz,0.65,0.94,0.32,0.43,0.33,0.04
