id,p1,p2,p3,p4,p5,p6
sabal,0.64,0.89,0.38,0.51,0.43,0.08
rybak,0.58,0.92,0.37,0.48,0.44,0.13
swiat,0.63,0.89,0.41,0.57,0.45,0.04
pegul,0.61,0.93,0.41,0.48,0.42,0.06
andre,0.63,0.88,0.42,0.54,0.44,0.05
anisi,0.63,0.82,0.41,0.52,0.43,0.07
gauff,0.63,0.81,0.46,0.54,0.42,0.05
svito,0.64,0.95,0.41,0.54,0.40,0.06
mucho,0.65,0.92,0.38,0.47,0.39,0.07
mboko,0.63,0.82,0.42,0.49,0.42,0.06
benci,0.65,0.86,0.36,0.51,0.42,0.05
nosko,0.59,0.82,0.34,0.48,0.42,0.12
kosty,0.60,0.87,0.43,0.55,0.41,0.06
osaka,0.57,0.89,0.37,0.46,0.43,0.12
shnai,0.65,0.89,0.42,0.51,0.41,0.02
jovic,0.61,0.91,0.41,0.51,0.41,0.04
paoli,0.69,0.92,0.42,0.49,0.40,0.02
cirst,0.60,0.94,0.40,0.51,0.42,0.07
alexa,0.57,0.83,0.38,0.48,0.41,0.10
kalin,0.65,0.84,0.40,0.50,0.39,0.03
chwal,0.71,0.90,0.46,0.55,0.40,0.01
keys,0.66,0.91,0.41,0.50,0.43,0.07
bouzk,0.66,0.85,0.40,0.52,0.42,0.04
ferna,0.62,0.82,0.36,0.49,0.42,0.04
tauso,0.59,0.88,0.37,0.48,0.39,0.06
navar,0.58,0.89,0.43,0.50,0.41,0.04
merte,0.59,0.85,0.39,0.49,0.42,0.09
potap,0.56,0.86,0.41,0.53,0.41,0.07
li,0.60,0.92,0.39,0.47,0.39,0.08
bapti,0.56,0.87,0.37,0.44,0.44,0.11
ostap,0.58,0.79,0.39,0.51,0.41,0.09
eala,0.65,0.89,0.38,0.47,0.36,0.02
raduc,0.63,0.88,0.40,0.47,0.38,0.07
vekic,0.58,0.86,0.38,0.50,0.43,0.07
bucsa,0.65,0.86,0.40,0.47,0.37,0.02
sinia,0.62,0.83,0.43,0.48,0.41,0.03
crist,0.60,0.89,0.40,0.47,0.40,0.06
krejc,0.64,0.84,0.37,0.46,0.45,0.07
wang,0.72,0.89,0.45,0.55,0.40,0.02
siege,0.74,0.87,0.40,0.47,0.39,0.02
samso,0.61,0.89,0.37,0.48,0.42,0.06
tjen,0.63,0.85,0.38,0.54,0.39,0.06
sakka,0.61,0.89,0.37,0.47,0.42,0.06
frech,0.62,0.94,0.38,0.46,0.37,0.04
bejle,0.72,0.87,0.46,0.51,0.39,0.01
cocci,0.67,0.87,0.38,0.49,0.40,0.02
marci,0.58,0.85,0.43,0.51,0.40,0.04
bartu,0.52,0.78,0.42,0.49,0.44,0.07
parry,0.62,0.91,0.36,0.47,0.40,0.06
mcnal,0.70,0.83,0.44,0.54,0.38,0.01
sonme,0.64,0.90,0.43,0.49,0.38,0.01
manei,0.67,0.86,0.44,0.53,0.38,0.02
oliyn,0.74,0.87,0.46,0.51,0.38,0.01
valen,0.63,0.87,0.44,0.56,0.39,0.03
staro,0.64,0.91,0.44,0.48,0.39,0.02
sierr,0.65,0.81,0.44,0.53,0.41,0.03
kessl,0.63,0.88,0.41,0.48,0.36,0.03
gibso,0.62,0.80,0.36,0.45,0.36,0.09
linet,0.59,0.94,0.36,0.46,0.40,0.07
boult,0.62,0.82,0.39,0.49,0.40,0.08
ruzic,0.66,0.88,0.40,0.49,0.37,0.02
golub,0.71,0.91,0.40,0.53,0.38,0.01
stear,0.64,0.88,0.39,0.50,0.40,0.05
zhang,0.68,0.86,0.35,0.45,0.36,0.04
kasat,0.73,0.77,0.45,0.57,0.38,0.03
kalin1,0.68,0.86,0.45,0.54,0.40,0.02
yastr,0.64,0.87,0.40,0.50,0.41,0.03
serra,0.66,0.79,0.41,0.55,0.41,0.03
udvar,0.56,0.90,0.41,0.48,0.40,0.06
rakhi,0.58,0.86,0.37,0.52,0.37,0.03
ruse,0.57,0.85,0.39,0.50,0.39,0.08
birre,0.64,0.78,0.38,0.47,0.38,0.03
plisk,0.66,0.76,0.36,0.43,0.43,0.09
bonda,0.61,0.94,0.38,0.50,0.41,0.07
zaraz,0.74,0.91,0.44,0.49,0.38,0.01
lys,0.67,0.82,0.39,0.51,0.38,0.01
snigu,0.72,0.84,0.43,0.51,0.36,0.02
korpa,0.62,0.88,0.45,0.50,0.39,0.02
towns,0.65,0.93,0.38,0.46,0.40,0.06
jacqu,0.61,0.82,0.40,0.49,0.37,0.06
parks,0.53,0.81,0.33,0.46,0.42,0.14
tagge,0.67,0.86,0.40,0.51,0.41,0.05
karta,0.75,0.90,0.43,0.48,0.38,0.01
putin,0.72,0.91,0.42,0.48,0.40,0.03
zakha,0.70,0.82,0.38,0.49,0.37,0.01
wang1,0.72,0.89,0.45,0.55,0.40,0.02
joint,0.65,0.88,0.42,0.48,0.39,0.02
grach,0.65,0.90,0.38,0.50,0.38,0.03
erjav,0.66,0.93,0.44,0.49,0.40,0.02
walte,0.65,0.84,0.44,0.50,0.40,0.03
selek,0.64,0.74,0.41,0.52,0.40,0.03
vidma,0.62,0.90,0.42,0.53,0.38,0.05
kraus,0.61,0.89,0.45,0.52,0.39,0.03
tomlj,0.66,0.79,0.39,0.54,0.40,0.03
timof,0.66,0.86,0.47,0.50,0.40,0.03
maria,0.57,0.95,0.36,0.47,0.36,0.10
arang,0.70,0.84,0.42,0.48,0.36,0.02
korne,0.64,0.82,0.42,0.49,0.38,0.04
tarar,0.60,0.90,0.41,0.49,0.37,0.05
seide,0.60,0.85,0.43,0.48,0.39,0.04
volyn,0.77,0.91,0.45,0.52,0.36,0.01
volyn1,0.77,0.91,0.45,0.52,0.36,0.01
krueg,0.65,0.80,0.40,0.47,0.40,0.06
vande,0.68,0.79,0.41,0.51,0.39,0.03
semen,0.67,0.95,0.43,0.49,0.36,0.02
kenin,0.65,0.83,0.34,0.50,0.41,0.05
jones,0.64,0.83,0.42,0.53,0.42,0.03
queve,0.63,0.89,0.43,0.50,0.39,0.04
uchij,0.60,0.87,0.43,0.49,0.39,0.04
sheri,0.76,0.88,0.44,0.52,0.40,0.02
kasin,0.68,0.83,0.41,0.46,0.39,0.02
galfi,0.63,0.87,0.39,0.47,0.39,0.08
sun,0.57,0.89,0.37,0.43,0.40,0.06
kuder,0.59,0.86,0.43,0.49,0.40,0.06
blink,0.61,0.87,0.42,0.51,0.37,0.03
kuder1,0.60,0.90,0.39,0.47,0.40,0.09
grabh,0.66,0.80,0.41,0.50,0.42,0.03
prest,0.62,0.84,0.40,0.53,0.39,0.02
chara,0.58,0.83,0.42,0.48,0.42,0.05
kawa,0.60,0.89,0.45,0.51,0.38,0.03
