id,p1,p2,p3,p4,p5,p6
sabal,0.62,0.89,0.34,0.50,0.40,0.13
rybak,0.56,0.88,0.33,0.46,0.43,0.17
swiat,0.64,0.81,0.40,0.49,0.45,0.08
pegul,0.62,0.94,0.37,0.49,0.41,0.09
andre,0.61,0.87,0.36,0.47,0.39,0.09
anisi,0.64,0.81,0.35,0.50,0.43,0.10
gauff,0.57,0.84,0.36,0.46,0.44,0.12
svito,0.59,0.87,0.37,0.55,0.37,0.10
mucho,0.62,0.93,0.33,0.46,0.43,0.13
mboko,0.66,0.74,0.33,0.50,0.43,0.11
benci,0.66,0.88,0.34,0.51,0.42,0.04
nosko,0.63,0.86,0.32,0.49,0.44,0.15
kosty,0.57,0.87,0.36,0.50,0.42,0.09
osaka,0.57,0.92,0.35,0.49,0.43,0.20
shnai,0.63,0.88,0.31,0.50,0.38,0.04
jovic,0.61,0.91,0.38,0.53,0.39,0.04
paoli,0.66,0.94,0.34,0.48,0.36,0.02
cirst,0.60,0.89,0.33,0.44,0.37,0.11
alexa,0.61,0.87,0.35,0.47,0.39,0.13
kalin,0.63,0.86,0.30,0.48,0.41,0.09
chwal,0.70,0.91,0.39,0.40,0.31,0.02
keys,0.65,0.89,0.35,0.47,0.44,0.10
bouzk,0.71,0.86,0.36,0.49,0.41,0.04
ferna,0.63,0.85,0.33,0.45,0.39,0.07
tauso,0.60,0.87,0.28,0.43,0.38,0.16
navar,0.62,0.90,0.34,0.46,0.39,0.07
merte,0.57,0.83,0.33,0.49,0.41,0.11
potap,0.52,0.88,0.29,0.39,0.38,0.04
li,0.60,0.90,0.36,0.44,0.35,0.15
bapti,0.55,0.89,0.36,0.40,0.38,0.08
ostap,0.57,0.77,0.42,0.53,0.42,0.15
eala,0.63,0.92,0.38,0.50,0.40,0.04
raduc,0.68,0.87,0.41,0.51,0.39,0.05
vekic,0.58,0.89,0.36,0.49,0.40,0.11
bucsa,0.66,0.88,0.37,0.45,0.39,0.04
sinia,0.61,0.84,0.34,0.47,0.42,0.07
crist,0.62,0.88,0.23,0.38,0.37,0.08
krejc,0.63,0.86,0.38,0.45,0.41,0.09
wang,0.73,0.89,0.37,0.43,0.31,0.03
siege,0.74,0.88,0.33,0.51,0.40,0.01
samso,0.56,0.87,0.34,0.49,0.40,0.12
tjen,0.65,0.90,0.31,0.43,0.39,0.06
sakka,0.55,0.89,0.27,0.46,0.38,0.10
frech,0.58,0.88,0.30,0.43,0.35,0.09
bejle,0.61,0.90,0.37,0.39,0.34,0.03
cocci,0.58,0.86,0.35,0.47,0.41,0.06
marci,0.59,0.77,0.32,0.52,0.41,0.08
bartu,0.56,0.87,0.35,0.45,0.41,0.12
parry,0.58,0.86,0.34,0.43,0.42,0.14
mcnal,0.72,0.80,0.39,0.48,0.38,0.04
sonme,0.65,0.90,0.36,0.50,0.38,0.01
manei,0.61,0.87,0.38,0.47,0.37,0.05
oliyn,0.67,0.87,0.31,0.35,0.16,0.02
valen,0.55,0.87,0.36,0.47,0.36,0.04
staro,0.63,0.92,0.35,0.55,0.34,0.04
sierr,0.61,0.81,0.36,0.47,0.39,0.06
kessl,0.60,0.90,0.35,0.49,0.39,0.05
gibso,0.64,0.81,0.31,0.48,0.41,0.09
linet,0.61,0.92,0.34,0.45,0.38,0.10
