id,p1,p2,p3,p4,p5,p6
sabal,0.62,0.92,0.30,0.48,0.41,0.16
rybak,0.52,0.87,0.31,0.42,0.44,0.11
swiat,0.68,0.71,0.45,0.47,0.42,0.03
pegul,0.63,0.96,0.42,0.51,0.37,0.08
andre,0.61,0.87,0.37,0.42,0.38,0.10
anisi,0.66,0.81,0.29,0.43,0.44,0.15
gauff,0.60,0.82,0.38,0.50,0.42,0.10
svito,0.56,0.87,0.41,0.55,0.30,0.09
nosko,0.64,0.84,0.35,0.46,0.44,0.13
mucho,0.64,0.92,0.34,0.50,0.47,0.14
benci,0.65,0.87,0.36,0.51,0.41,0.05
kosty,0.56,0.89,0.38,0.54,0.45,0.08
paoli,0.68,0.95,0.38,0.52,0.38,0.03
osaka,0.59,0.93,0.35,0.47,0.42,0.20
shnai,0.63,0.85,0.30,0.54,0.37,0.03
jovic,0.57,0.94,0.38,0.56,0.36,0.05
cirst,0.62,0.92,0.36,0.42,0.37,0.14
alexa,0.61,0.91,0.38,0.46,0.36,0.11
kalin,0.62,0.85,0.29,0.48,0.42,0.10
bouzk,0.71,0.83,0.35,0.49,0.37,0.03
ferna,0.60,0.83,0.28,0.39,0.36,0.09
navar,0.57,0.87,0.30,0.40,0.40,0.08
tauso,0.60,0.86,0.25,0.44,0.37,0.19
merte,0.57,0.80,0.37,0.52,0.39,0.10
keys,0.62,0.88,0.35,0.43,0.44,0.11
li,0.60,0.88,0.37,0.41,0.35,0.17
eala,0.59,0.95,0.39,0.47,0.38,0.06
vekic,0.56,0.90,0.37,0.50,0.36,0.11
sinia,0.60,0.80,0.30,0.43,0.41,0.09
ostap,0.57,0.76,0.44,0.53,0.41,0.16
krejc,0.61,0.89,0.35,0.43,0.38,0.08
sakka,0.54,0.87,0.25,0.51,0.36,0.12
tjen,0.66,0.90,0.32,0.46,0.39,0.06
samso,0.53,0.87,0.37,0.49,0.40,0.12
frech,0.58,0.85,0.31,0.32,0.35,0.09
bejle,0.56,0.93,0.36,0.41,0.35,0.04
bartu,0.53,0.86,0.35,0.50,0.37,0.15
parry,0.59,0.87,0.32,0.41,0.41,0.14
manei,0.59,0.91,0.38,0.49,0.34,0.03
mcnal,0.73,0.76,0.35,0.44,0.40,0.04
