id,p1,p2,p3,p4,p5,p6
sabal,0.64,0.91,0.37,0.51,0.43,0.11
rybak,0.59,0.92,0.35,0.49,0.43,0.17
swiat,0.63,0.88,0.40,0.54,0.42,0.08
pegul,0.62,0.92,0.38,0.50,0.41,0.08
andre,0.63,0.85,0.42,0.50,0.41,0.07
anisi,0.64,0.85,0.37,0.50,0.40,0.08
gauff,0.62,0.73,0.41,0.52,0.42,0.07
svito,0.58,0.89,0.37,0.49,0.40,0.09
mboko,0.65,0.80,0.39,0.48,0.42,0.10
nosko,0.58,0.84,0.34,0.48,0.42,0.14
mucho,0.64,0.93,0.37,0.46,0.41,0.08
benci,0.65,0.87,0.37,0.54,0.41,0.05
kosty,0.59,0.81,0.38,0.48,0.41,0.08
paoli,0.66,0.93,0.37,0.48,0.37,0.03
osaka,0.58,0.92,0.36,0.48,0.41,0.16
shnai,0.65,0.87,0.35,0.49,0.39,0.04
jovic,0.62,0.92,0.39,0.50,0.39,0.05
