id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l,upset_ok
sinne,Jannik Sinner,Jannik,Sinner,1,2,0.63,0.94,0.32,0.52,0.44,0.19,ITA,25,19,2,9,1,0
alcar,Carlos Alcaraz,Carlos,Alcaraz,2,2,0.66,0.92,0.34,0.49,0.43,0.11,ESP,23,17,2,7,3,0
zvere,Alexander Zverev,Alexander,Zverev,3,2,0.64,0.83,0.28,0.35,0.47,0.21,GER,29,19,7,7,3,1
auger,Felix Auger Aliassime,Felix,Auger Aliassime,4,2,0.59,0.81,0.34,0.40,0.40,0.27,CAN,26,18,8,7,3,1
shelt,Ben Shelton,Ben,Shelton,5,2,0.67,0.91,0.33,0.41,0.42,0.10,USA,23,23,8,8,2,1
demin,Alex De Minaur,Alex,De Minaur,6,2,0.55,0.89,0.28,0.44,0.41,0.13,AUS,27,18,8,6,4,1
fritz,Taylor Fritz,Taylor,Fritz,7,2,0.61,0.90,0.19,0.54,0.43,0.28,USA,28,22,10,8,2,1
djoko,Novak Djokovic,Novak,Djokovic,8,2,0.65,0.90,0.30,0.49,0.42,0.14,SRB,39,7,3,7,3,0
medve,Daniil Medvedev,Daniil,Medvedev,9,2,0.53,0.80,0.23,0.39,0.40,0.25,RUS,30,20,9,4,6,1
cobol,Flavio Cobolli,Flavio,Cobolli,10,2,0.57,0.93,0.28,0.47,0.38,0.14,ITA,24,13,10,5,5,1
bubli,Alexander Bublik,Alexander,Bublik,11,2,0.62,0.84,0.27,0.41,0.40,0.24,KAZ,29,13,6,6,4,0
ruud,Casper Ruud,Casper,Ruud,12,2,0.66,0.91,0.26,0.43,0.41,0.13,NOR,27,8,10,4,6,0
ruble,Andrey Rublev,Andrey,Rublev,13,2,0.61,0.91,0.29,0.44,0.40,0.17,RUS,28,11,8,6,4,0
lehec,Jiri Lehecka,Jiri,Lehecka,14,2,0.63,0.94,0.23,0.33,0.40,0.14,CZE,24,17,12,6,4,1
muset,Lorenzo Musetti,Lorenzo,Musetti,15,2,0.57,0.89,0.23,0.54,0.38,0.10,ITA,24,14,9,5,5,1
darde,Luciano Darderi,Luciano,Darderi,16,2,0.59,0.87,0.25,0.40,0.36,0.06,ITA,24,9,10,5,5,1
tien,Learner Tien,Learner,Tien,17,2,0.61,0.90,0.30,0.47,0.37,0.09,USA,20,18,11,6,4,1
