id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l
sinne,Jannik Sinner,Jannik,Sinner,1,2,0.65,0.92,0.28,0.52,0.44,0.24,ITA,24,5,0,9,1
alcar,Carlos Alcaraz,Carlos,Alcaraz,2,2,0.62,0.89,0.31,0.44,0.42,0.17,ESP,23,0,0,7,3
zvere,Alexander Zverev,Alexander,Zverev,3,2,0.73,0.91,0.25,0.44,0.44,0.20,GER,29,7,1,9,1
auger,Felix Auger Aliassime,Felix,Auger Aliassime,4,2,0.66,0.89,0.28,0.40,0.41,0.25,CAN,25,7,3,7,3
shelt,Ben Shelton,Ben,Shelton,5,2,0.68,0.87,0.22,0.39,0.43,0.20,USA,23,6,2,7,3
demin,Alex De Minaur,Alex,De Minaur,6,2,0.56,0.91,0.34,0.53,0.40,0.09,AUS,27,8,3,7,3
fritz,Taylor Fritz,Taylor,Fritz,7,2,0.67,0.94,0.25,0.44,0.43,0.27,USA,28,11,2,8,2
djoko,Novak Djokovic,Novak,Djokovic,8,2,0.69,0.93,0.30,0.48,0.41,0.17,SRB,39,5,0,7,3
medve,Daniil Medvedev,Daniil,Medvedev,9,2,0.64,0.85,0.30,0.50,0.39,0.18,RUS,30,6,3,6,4
cobol,Flavio Cobolli,Flavio,Cobolli,10,2,0.57,0.94,0.28,0.43,0.37,0.14,ITA,24,4,1,8,2
bubli,Alexander Bublik,Alexander,Bublik,11,2,0.67,0.86,0.23,0.42,0.41,0.29,KAZ,29,5,3,5,5
ruud,Casper Ruud,Casper,Ruud,12,2,0.66,0.85,0.24,0.41,0.33,0.16,NOR,27,0,1,6,4
ruble,Andrey Rublev,Andrey,Rublev,13,2,0.61,0.87,0.21,0.41,0.41,0.17,RUS,28,0,2,6,4
lehec,Jiri Lehecka,Jiri,Lehecka,14,2,0.63,0.94,0.27,0.40,0.41,0.22,CZE,24,6,3,6,4
muset,Lorenzo Musetti,Lorenzo,Musetti,15,2,0.66,0.92,0.28,0.44,0.39,0.08,ITA,24,0,0,6,4
darde,Luciano Darderi,Luciano,Darderi,16,2,0.62,0.91,0.25,0.40,0.36,0.12,ITA,24,1,2,5,5
