id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l,upset_ok
sinne,Jannik Sinner,Jannik,Sinner,1,2,0.67,0.90,0.28,0.54,0.44,0.29,ITA,24,0,0,9,1,1
alcar,Carlos Alcaraz,Carlos,Alcaraz,2,2,0.62,0.89,0.31,0.44,0.42,0.17,ESP,23,0,0,7,3,0
zvere,Alexander Zverev,Alexander,Zverev,3,2,0.74,0.88,0.26,0.49,0.45,0.23,GER,29,3,1,9,1,1
auger,Felix Auger Aliassime,Felix,Auger Aliassime,4,2,0.67,0.90,0.30,0.40,0.43,0.24,CAN,25,3,2,7,3,1
shelt,Ben Shelton,Ben,Shelton,5,2,0.69,0.88,0.21,0.38,0.43,0.17,USA,23,6,1,7,3,1
demin,Alex De Minaur,Alex,De Minaur,6,2,0.56,0.90,0.32,0.55,0.37,0.09,AUS,27,5,2,7,3,1
fritz,Taylor Fritz,Taylor,Fritz,7,2,0.67,0.95,0.27,0.46,0.44,0.29,USA,28,7,2,8,2,1
djoko,Novak Djokovic,Novak,Djokovic,8,2,0.70,0.93,0.26,0.43,0.42,0.16,SRB,39,0,0,7,3,1
medve,Daniil Medvedev,Daniil,Medvedev,9,2,0.62,0.85,0.31,0.56,0.38,0.18,RUS,30,4,2,6,4,1
cobol,Flavio Cobolli,Flavio,Cobolli,10,2,0.55,0.93,0.29,0.47,0.37,0.14,ITA,24,0,1,8,2,1
bubli,Alexander Bublik,Alexander,Bublik,11,2,0.69,0.88,0.21,0.42,0.40,0.30,KAZ,29,2,2,5,5,1
ruud,Casper Ruud,Casper,Ruud,12,2,0.66,0.85,0.24,0.41,0.33,0.16,NOR,27,0,0,6,4,0
ruble,Andrey Rublev,Andrey,Rublev,13,2,0.64,0.85,0.17,0.35,0.40,0.18,RUS,28,0,1,6,4,1
lehec,Jiri Lehecka,Jiri,Lehecka,14,2,0.65,0.93,0.30,0.46,0.36,0.23,CZE,24,3,2,6,4,1
muset,Lorenzo Musetti,Lorenzo,Musetti,15,2,0.66,0.92,0.28,0.44,0.39,0.08,ITA,24,0,0,6,4,0
darde,Luciano Darderi,Luciano,Darderi,16,2,0.62,0.91,0.17,0.41,0.36,0.12,ITA,24,1,1,5,5,1
tien,Learner Tien,Learner,Tien,17,2,0.61,0.88,0.33,0.45,0.34,0.09,USA,20,1,1,7,3,1
mensi,Jakub Mensik,Jakub,Mensik,18,2,0.66,0.91,0.28,0.38,0.35,0.24,CZE,20,0,1,6,4,1
tiafo,Frances Tiafoe,Frances,Tiafoe,19,2,0.60,0.91,0.21,0.49,0.44,0.12,USA,28,7,1,8,2,1
vache,Valentin Vacherot,Valentin,Vacherot,20,2,,,,,,0.05,MON,27,0,0,7,3,0
cerun,Francisco Cerundolo,Francisco,Cerundolo,21,2,0.60,0.88,0.23,0.52,0.34,0.06,ARG,27,5,0,7,3,1
khach,Karen Khachanov,Karen,Khachanov,22,2,0.69,0.94,0.28,0.50,0.40,0.13,RUS,30,0,1,5,5,1
fokin,Alejandro Davidovich Fokina,Alejandro,Davidovich Fokina,23,2,0.68,0.92,0.30,0.44,0.44,0.10,ESP,27,6,2,8,2,1
fils,Arthur Fils,Arthur,Fils,24,2,0.68,0.94,0.26,0.47,0.39,0.14,FRA,22,0,0,7,3,1
paul,Tommy Paul,Tommy,Paul,25,2,0.61,0.93,0.31,0.47,0.42,0.18,USA,29,4,1,7,3,1
jodar,Rafael Jodar,Rafael,Jodar,26,2,0.60,0.91,0.32,0.51,0.34,0.12,ESP,19,0,0,7,3,1
fonse,Joao Fonseca,Joao,Fonseca,27,2,0.73,0.93,0.27,0.52,0.35,0.12,BRA,19,0,1,6,4,1
rinde,Arthur Rinderknech,Arthur,Rinderknech,28,2,0.65,0.91,0.24,0.35,0.46,0.32,FRA,30,0,2,5,5,1
norri,Cameron Norrie,Cameron,Norrie,29,2,0.67,0.84,0.21,0.44,0.39,0.05,GBR,30,0,1,3,7,1
humbe,Ugo Humbert,Ugo,Humbert,30,2,0.60,0.90,0.27,0.46,0.38,0.14,FRA,27,8,3,7,3,1
nakas,Brandon Nakashima,Brandon,Nakashima,31,2,0.66,0.95,0.22,0.45,0.38,0.22,USA,24,3,1,6,4,1
etche,Tomas Martin Etcheverry,Tomas,Martin Etcheverry,32,2,0.65,0.96,0.18,0.40,0.39,0.14,ARG,26,0,2,3,7,1
tabil,Alejandro Tabilo,Alejandro,Tabilo,33,2,0.63,0.90,0.20,0.38,0.32,0.11,CHI,29,0,2,4,6,1
buse,Ignacio Buse,Ignacio,Buse,34,2,0.69,0.92,0.26,0.47,0.34,0.04,PER,22,2,2,6,4,1
arnal,Matteo Arnaldi,Matteo,Arnaldi,35,2,0.59,0.90,0.18,0.52,0.33,0.15,ITA,25,2,1,7,3,1
block,Alexander Blockx,Alexander,Blockx,36,2,0.65,0.84,0.16,0.32,0.43,0.18,BEL,21,0,0,7,3,1
bergs,Zizou Bergs,Zizou,Bergs,37,2,0.62,0.84,0.33,0.48,0.37,0.15,BEL,27,5,2,7,3,1
navon,Mariano Navone,Mariano,Navone,38,2,0.78,0.94,0.28,0.56,0.34,0.04,ARG,25,0,1,5,5,1
moute,Corentin Moutet,Corentin,Moutet,39,2,0.66,0.90,0.29,0.44,0.34,0.06,FRA,27,1,3,1,9,1
manna,Adrian Mannarino,Adrian,Mannarino,40,2,0.60,0.92,0.27,0.54,0.37,0.05,FRA,37,4,3,5,5,1
shapo,Denis Shapovalov,Denis,Shapovalov,41,2,0.58,0.81,0.27,0.43,0.39,0.17,CAN,27,1,2,3,7,0
cerun1,Juan Manuel Cerundolo,Juan,Manuel Cerundolo,42,2,0.57,0.88,0.24,0.51,0.35,0.16,ARG,24,2,1,7,3,1
colli,Raphael Collignon,Raphael,Collignon,43,2,0.65,0.83,0.22,0.34,0.36,0.17,BEL,,4,2,6,4,1
clar,Jaume Antoni Munar Clar,Jaume,Antoni Munar Clar,44,2,0.62,0.89,0.30,0.47,0.39,0.16,ESP,29,0,2,4,6,1
majch,Kamil Majchrzak,Kamil,Majchrzak,45,2,0.66,0.95,0.28,0.41,0.41,0.17,POL,30,8,2,7,3,1
miche,Alex Michelsen,Alex,Michelsen,46,2,0.63,0.83,0.29,0.40,0.32,0.13,USA,21,0,0,4,6,1
quinn,Ethan Quinn,Ethan,Quinn,47,2,0.64,0.83,0.27,0.44,0.40,0.20,USA,,5,2,6,4,1
borge,Nuno Borges,Nuno,Borges,48,2,0.69,0.95,0.26,0.40,0.38,0.12,POR,,4,3,5,5,1
macha,Tomas Machac,Tomas,Machac,49,2,0.64,0.92,0.26,0.46,0.38,0.13,CZE,25,0,0,6,4,0
kecma,Miomir Kecmanovic,Miomir,Kecmanovic,50,2,0.66,0.92,0.17,0.39,0.39,0.05,SRB,26,2,2,6,4,1
berre,Matteo Berrettini,Matteo,Berrettini,51,2,0.71,0.90,0.23,0.33,0.39,0.22,ITA,30,0,0,7,3,1
atman,Terence Atmane,Terence,Atmane,52,2,0.65,0.91,0.19,0.33,0.37,0.14,FRA,,1,3,2,8,1
maroz,Fabian Marozsan,Fabian,Marozsan,53,2,0.68,0.91,0.26,0.38,0.36,0.11,HUN,,4,3,5,5,1
zands,Botic Van De Zandschulp,Botic,Van De Zandschulp,54,2,0.61,0.88,0.28,0.43,0.36,0.17,NED,,1,2,4,6,1
tiran,Thiago Agustin Tirante,Thiago,Agustin Tirante,55,2,0.57,0.87,0.25,0.34,0.35,0.16,ARG,,1,1,5,5,1
hanfm,Yannick Hanfmann,Yannick,Hanfmann,56,2,0.63,0.92,0.26,0.41,0.41,0.19,GER,,3,3,4,6,1
baez,Sebastian Baez,Sebastian,Baez,57,2,0.75,0.94,0.15,0.48,0.36,0.04,ARG,,0,0,6,4,1
griek,Tallon Griekspoor,Tallon,Griekspoor,58,2,0.71,0.91,0.20,0.34,0.37,0.22,NED,29,1,2,3,7,1
carab,Camilo Ugo Carabelli,Camilo,Ugo Carabelli,59,2,0.62,0.86,0.28,0.46,0.33,0.15,ARG,,0,0,4,6,0
landa,Martin Landaluce,Martin,Landaluce,60,2,0.62,0.83,0.21,0.38,0.38,0.17,ESP,,3,3,5,5,1
altma,Daniel Altmaier,Daniel,Altmaier,61,2,0.64,0.86,0.27,0.37,0.35,0.22,GER,,4,3,4,6,1
cilic,Marin Cilic,Marin,Cilic,62,2,0.59,0.93,0.25,0.39,0.27,0.10,CRO,37,2,2,4,6,1
korda,Sebastian Korda,Sebastian,Korda,63,2,0.62,0.93,0.25,0.47,0.41,0.17,USA,,0,0,8,2,0
kopri,Vit Kopriva,Vit,Kopriva,64,2,0.57,0.87,0.19,0.49,0.39,0.16,CZE,,2,2,4,6,1
burru,Roman Andres Burruchaga,Roman,Andres Burruchaga,65,2,0.66,0.84,0.26,0.30,0.27,0.07,ARG,,0,1,3,7,1
svajd,Zachary Svajda,Zachary,Svajda,66,2,0.58,0.93,0.30,0.42,0.37,0.14,USA,,2,3,5,5,1
bellu,Mattia Bellucci,Mattia,Bellucci,67,2,0.64,0.91,0.30,0.38,0.43,0.15,ITA,,5,4,5,5,1
