id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l
sabal,Aryna Sabalenka,Aryna,Sabalenka,1,2,0.62,0.90,0.36,0.52,0.44,0.11,BLR,28,29,5,6,4
rybak,Elena Rybakina,Elena,Rybakina,2,2,0.58,0.91,0.34,0.49,0.43,0.17,KAZ,27,32,8,7,3
swiat,Iga Swiatek,Iga,Swiatek,3,2,0.65,0.88,0.41,0.54,0.42,0.06,POL,25,25,7,9,1
pegul,Jessica Pegula,Jessica,Pegula,4,2,0.62,0.92,0.38,0.50,0.41,0.08,USA,32,30,8,7,3
andre,Mirra Andreeva,Mirra,Andreeva,5,2,0.63,0.85,0.41,0.50,0.42,0.07,RUS,19,17,8,6,4
anisi,Amanda Anisimova,Amanda,Anisimova,6,2,0.63,0.84,0.38,0.50,0.41,0.07,USA,25,17,9,6,4
gauff,Cori Gauff,Cori,Gauff,7,2,0.62,0.76,0.41,0.53,0.43,0.08,USA,22,31,8,10,0
svito,Elina Svitolina,Elina,Svitolina,8,2,0.58,0.87,0.39,0.51,0.40,0.08,UKR,31,31,9,8,2
mucho,Karolina Muchova,Karolina,Muchova,9,2,0.64,0.93,0.37,0.46,0.41,0.08,CZE,30,18,4,9,1
mboko,Victoria Mboko,Victoria,Mboko,10,2,0.65,0.80,0.39,0.48,0.43,0.10,CAN,20,19,6,5,5
benci,Belinda Bencic,Belinda,Bencic,11,2,0.63,0.87,0.37,0.53,0.43,0.05,SUI,29,18,7,7,3
nosko,Linda Noskova,Linda,Noskova,12,2,0.59,0.81,0.33,0.47,0.43,0.16,CZE,21,14,9,7,3
kosty,Marta Kostyuk,Marta,Kostyuk,13,2,0.57,0.82,0.38,0.48,0.41,0.09,UKR,24,12,7,6,4
osaka,Naomi Osaka,Naomi,Osaka,14,2,0.58,0.90,0.36,0.47,0.44,0.17,JPN,28,14,6,7,3
shnai,Diana Shnaider,Diana,Shnaider,15,2,0.65,0.87,0.34,0.50,0.41,0.04,RUS,22,15,12,5,5
jovic,Iva Jovic,Iva,Jovic,16,2,0.62,0.92,0.38,0.49,0.40,0.05,USA,18,18,10,6,4
paoli,Jasmine Paolini,Jasmine,Paolini,17,2,0.66,0.93,0.37,0.48,0.38,0.03,ITA,30,8,7,6,4
cirst,Sorana Cirstea,Sorana,Cirstea,18,2,0.59,0.91,0.37,0.48,0.40,0.11,ROU,36,19,8,5,5
alexa,Ekaterina Alexandrova,Ekaterina,Alexandrova,19,2,0.61,0.83,0.36,0.46,0.40,0.11,RUS,31,10,13,5,5
kalin,Anna Kalinskaya,Anna,Kalinskaya,20,2,0.63,0.83,0.35,0.50,0.41,0.05,RUS,27,14,10,6,4
chwal,Maja Chwalinska,Maja,Chwalinska,21,2,0.70,0.89,0.43,0.48,0.40,0.02,POL,24,11,7,5,5
keys,Madison Keys,Madison,Keys,22,2,0.64,0.83,0.35,0.47,0.41,0.10,USA,31,13,10,5,5
bouzk,Marie Bouzkova,Marie,Bouzkova,23,2,0.64,0.86,0.39,0.49,0.39,0.05,CZE,28,12,14,5,5
