id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l,upset_ok
sabal,Aryna Sabalenka,Aryna,Sabalenka,1,2,0.64,0.91,0.37,0.51,0.43,0.11,BLR,28,23,1,8,2,0
rybak,Elena Rybakina,Elena,Rybakina,2,2,0.59,0.92,0.35,0.49,0.43,0.17,KAZ,27,21,5,6,4,0
swiat,Iga Swiatek,Iga,Swiatek,3,2,0.63,0.88,0.40,0.54,0.42,0.08,POL,25,12,6,7,3,0
pegul,Jessica Pegula,Jessica,Pegula,4,2,0.62,0.92,0.38,0.50,0.41,0.08,USA,32,19,4,7,3,0
andre,Mirra Andreeva,Mirra,Andreeva,5,2,0.63,0.85,0.42,0.50,0.41,0.07,RUS,19,14,6,8,2,0
anisi,Amanda Anisimova,Amanda,Anisimova,6,2,0.64,0.85,0.37,0.50,0.41,0.08,USA,24,11,6,7,3,0
gauff,Cori Gauff,Cori,Gauff,7,2,0.62,0.73,0.41,0.52,0.42,0.07,USA,22,16,6,7,3,0
svito,Elina Svitolina,Elina,Svitolina,8,2,0.58,0.89,0.37,0.49,0.40,0.09,UKR,31,20,5,7,3,0
mboko,Victoria Mboko,Victoria,Mboko,9,2,0.65,0.80,0.39,0.48,0.43,0.10,CAN,19,19,6,5,5,0
nosko,Linda Noskova,Linda,Noskova,10,2,0.58,0.84,0.34,0.48,0.43,0.14,CZE,21,11,6,7,3,0
mucho,Karolina Muchova,Karolina,Muchova,11,2,0.64,0.93,0.37,0.46,0.41,0.08,CZE,29,18,4,8,2,0
benci,Belinda Bencic,Belinda,Bencic,12,2,0.65,0.87,0.37,0.54,0.41,0.05,SUI,29,13,5,7,3,0
kosty,Marta Kostyuk,Marta,Kostyuk,13,2,0.59,0.81,0.38,0.48,0.42,0.08,UKR,24,6,4,9,1,0
paoli,Jasmine Paolini,Jasmine,Paolini,14,2,0.66,0.93,0.37,0.48,0.37,0.03,ITA,30,8,7,5,5,0
osaka,Naomi Osaka,Naomi,Osaka,15,2,0.58,0.92,0.36,0.48,0.41,0.16,JPN,28,5,3,8,2,0
shnai,Diana Shnaider,Diana,Shnaider,16,2,0.65,0.87,0.35,0.49,0.40,0.04,RUS,22,8,7,6,4,0
jovic,Iva Jovic,Iva,Jovic,17,2,0.62,0.92,0.39,0.50,0.39,0.05,USA,18,15,7,8,2,0
cirst,Sorana Cirstea,Sorana,Cirstea,18,2,0.59,0.93,0.37,0.49,0.40,0.11,,36,0,0,0,0,0
alexa,Ekaterina Alexandrova,Ekaterina,Alexandrova,19,2,0.61,0.83,0.36,0.48,0.40,0.11,,31,0,0,0,0,0
kalin,Anna Kalinskaya,Anna,Kalinskaya,20,2,0.65,0.86,0.35,0.49,0.40,0.04,,27,0,0,0,0,0
chwal,Maja Chwalinska,Maja,Chwalinska,21,2,0.71,0.90,0.44,0.50,0.40,0.02,,24,0,0,0,0,0
bouzk,Marie Bouzkova,Marie,Bouzkova,22,2,0.64,0.85,0.39,0.50,0.37,0.05,,27,0,0,0,0,0
ferna,Leylah Annie Fernandez,Leylah,Annie Fernandez,23,2,0.62,0.85,0.34,0.47,0.41,0.06,,23,0,0,0,0,0
navar,Emma Navarro,Emma,Navarro,24,2,0.63,0.87,0.36,0.49,0.40,0.04,,25,0,0,0,0,0
tauso,Clara Tauson,Clara,Tauson,25,2,0.60,0.87,0.36,0.47,0.40,0.16,,23,0,0,0,0,0
merte,Elise Mertens,Elise,Mertens,26,2,0.57,0.85,0.37,0.49,0.41,0.13,,30,0,0,0,0,0
