id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l
sabal,Aryna Sabalenka,Aryna,Sabalenka,1,2,0.62,0.87,0.34,0.50,0.39,0.11,BLR,28,2,1,7,3
rybak,Elena Rybakina,Elena,Rybakina,2,2,0.58,0.89,0.33,0.47,0.42,0.19,KAZ,27,1,2,5,5
swiat,Iga Swiatek,Iga,Swiatek,3,2,0.64,0.89,0.39,0.51,0.45,0.11,POL,25,0,0,7,3
pegul,Jessica Pegula,Jessica,Pegula,4,2,0.61,0.93,0.32,0.47,0.42,0.10,USA,32,3,1,6,4
andre,Mirra Andreeva,Mirra,Andreeva,5,2,0.62,0.87,0.36,0.52,0.39,0.07,RUS,19,0,0,9,1
anisi,Amanda Anisimova,Amanda,Anisimova,6,2,0.63,0.81,0.37,0.53,0.41,0.08,USA,24,1,1,6,4
gauff,Cori Gauff,Cori,Gauff,7,2,0.52,0.82,0.33,0.43,0.41,0.19,USA,22,0,1,7,3
svito,Elina Svitolina,Elina,Svitolina,8,2,0.60,0.86,0.33,0.57,0.40,0.12,UKR,31,2,1,8,2
mboko,Victoria Mboko,Victoria,Mboko,9,2,0.66,0.74,0.33,0.50,0.42,0.11,CAN,19,0,1,5,5
nosko,Linda Noskova,Linda,Noskova,10,2,0.61,0.85,0.32,0.51,0.44,0.19,CZE,21,5,0,7,3
mucho,Karolina Muchova,Karolina,Muchova,11,2,0.64,0.88,0.31,0.41,0.39,0.15,CZE,29,1,1,6,4
benci,Belinda Bencic,Belinda,Bencic,12,2,0.68,0.90,0.31,0.49,0.41,0.03,SUI,29,0,0,6,4
kosty,Marta Kostyuk,Marta,Kostyuk,13,2,0.61,0.85,0.35,0.45,0.33,0.06,UKR,23,0,0,9,1
paoli,Jasmine Paolini,Jasmine,Paolini,14,2,0.64,0.93,0.36,0.45,0.36,0.03,ITA,30,0,0,5,5
osaka,Naomi Osaka,Naomi,Osaka,15,2,0.55,0.91,0.32,0.52,0.41,0.16,JPN,28,1,0,7,3
shnai,Diana Shnaider,Diana,Shnaider,16,2,0.63,0.89,0.31,0.49,0.37,0.04,RUS,22,0,2,6,4
jovic,Iva Jovic,Iva,Jovic,17,2,0.63,0.88,0.39,0.50,0.39,0.03,USA,18,3,1,6,4
cirst,Sorana Cirstea,Sorana,Cirstea,18,2,0.59,0.88,0.31,0.46,0.36,0.08,ROU,36,1,1,7,3
alexa,Ekaterina Alexandrova,Ekaterina,Alexandrova,19,2,0.61,0.83,0.34,0.47,0.40,0.15,RUS,31,1,2,2,8
kalin,Anna Kalinskaya,Anna,Kalinskaya,20,2,0.63,0.89,0.32,0.51,0.39,0.07,RUS,27,1,1,7,3
chwal,Maja Chwalinska,Maja,Chwalinska,21,2,,,,,,0.05,POL,24,0,0,9,1
bouzk,Marie Bouzkova,Marie,Bouzkova,22,2,0.72,0.88,0.37,0.49,0.42,0.04,CZE,27,6,1,8,2
ferna,Leylah Annie Fernandez,Leylah,Annie Fernandez,23,2,0.63,0.85,0.34,0.47,0.40,0.06,CAN,23,1,2,3,7
navar,Emma Navarro,Emma,Navarro,24,2,0.65,0.92,0.37,0.51,0.38,0.06,USA,25,4,2,7,3
tauso,Clara Tauson,Clara,Tauson,25,2,0.59,0.87,0.30,0.44,0.38,0.14,DEN,23,1,2,2,8
merte,Elise Mertens,Elise,Mertens,26,2,0.58,0.85,0.33,0.49,0.42,0.12,BEL,30,3,2,6,4
keys,Madison Keys,Madison,Keys,27,2,0.68,0.90,0.34,0.49,0.41,0.10,USA,31,2,1,7,3
potap,Anastasia Potapova,Anastasia,Potapova,28,2,0.55,0.88,0.28,0.39,0.39,0.05,AUT,25,1,2,6,4
li,Ann Li,Ann,Li,29,2,0.61,0.91,0.37,0.44,0.35,0.14,USA,25,2,1,6,4
eala,Alexandra Eala,Alexandra,Eala,30,2,0.63,0.90,0.36,0.51,0.39,0.04,PHI,21,9,3,7,3
bapti,Hailey Baptiste,Hailey,Baptiste,31,2,0.55,0.89,0.36,0.40,0.37,0.08,USA,24,0,0,6,4
raduc,Emma Raducanu,Emma,Raducanu,32,2,0.68,0.87,0.41,0.51,0.38,0.05,GBR,23,4,1,5,5
vekic,Donna Vekic,Donna,Vekic,33,2,0.59,0.90,0.36,0.49,0.41,0.11,CRO,29,6,2,7,3
sinia,Katerina Siniakova,Katerina,Siniakova,34,2,0.61,0.85,0.35,0.47,0.42,0.07,CZE,30,3,2,5,5
ostap,Jelena Ostapenko,Jelena,Ostapenko,35,2,0.58,0.80,0.39,0.52,0.43,0.12,LAT,29,1,0,7,3
bucsa,Cristina Bucsa,Cristina,Bucsa,36,2,0.66,0.88,0.37,0.45,0.39,0.04,ESP,28,0,0,4,6
krejc,Barbora Krejcikova,Barbora,Krejcikova,37,2,0.65,0.84,0.40,0.47,0.43,0.10,CZE,30,4,0,8,2
crist,Jaqueline Cristian,Jaqueline,Cristian,38,2,0.62,0.90,0.25,0.39,0.36,0.08,ROU,28,1,1,5,5
sakka,Maria Sakkari,Maria,Sakkari,39,2,0.56,0.90,0.28,0.43,0.38,0.09,GRE,30,0,2,3,7
siege,Laura Siegemund,Laura,Siegemund,40,2,0.74,0.89,0.32,0.53,0.39,0.02,GER,38,1,1,5,5
tjen,Janice Tjen,Janice,Tjen,41,2,0.63,0.93,0.31,0.37,0.38,0.05,INA,24,1,3,3,7
samso,Liudmila Samsonova,Liudmila,Samsonova,42,2,0.58,0.87,0.32,0.48,0.39,0.12,RUS,27,1,2,4,6
frech,Magdalena Frech,Magdalena,Frech,43,2,0.57,0.89,0.30,0.47,0.35,0.09,POL,28,1,3,3,7
cocci,Elisabetta Cocciaretto,Elisabetta,Cocciaretto,44,2,0.60,0.86,0.37,0.48,0.39,0.07,ITA,25,0,1,4,6
bejle,Sara Bejlek,Sara,Bejlek,45,2,0.61,0.85,0.35,0.40,0.33,0.04,CZE,20,0,2,2,8
bartu,Nikola Bartunkova,Nikola,Bartunkova,46,2,0.57,0.87,0.35,0.43,0.41,0.10,CZE,20,6,3,6,4
parry,Diane Parry,Diane,Parry,47,2,0.58,0.85,0.34,0.43,0.43,0.13,FRA,23,4,2,7,3
manei,Jessica Bouzas Maneiro,Jessica,Bouzas Maneiro,48,2,0.63,0.85,0.39,0.39,0.38,0.06,ESP,23,2,2,5,5
oliyn,Oleksandra Oliynykova,Oleksandra,Oliynykova,49,2,,,,,,0.05,UKR,25,0,1,6,4
mcnal,Caty McNally,Caty,McNally,50,2,0.71,0.83,0.43,0.48,0.35,0.05,USA,24,3,2,5,5
