id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l,upset_ok
sabal,Aryna Sabalenka,Aryna,Sabalenka,1,2,0.62,0.92,0.30,0.48,0.41,0.16,BLR,28,2,1,7,3,1
rybak,Elena Rybakina,Elena,Rybakina,2,2,0.52,0.87,0.31,0.42,0.44,0.11,KAZ,27,1,2,5,5,1
swiat,Iga Swiatek,Iga,Swiatek,3,2,0.68,0.71,0.45,0.47,0.42,0.03,POL,25,0,1,6,4,1
pegul,Jessica Pegula,Jessica,Pegula,4,2,0.63,0.96,0.42,0.51,0.37,0.08,USA,32,3,1,7,3,1
andre,Mirra Andreeva,Mirra,Andreeva,5,2,0.61,0.87,0.37,0.42,0.38,0.10,RUS,19,0,1,8,2,1
anisi,Amanda Anisimova,Amanda,Anisimova,6,2,0.66,0.81,0.29,0.43,0.44,0.15,USA,24,1,1,6,4,1
gauff,Cori Gauff,Cori,Gauff,7,2,0.60,0.82,0.38,0.50,0.42,0.10,USA,22,0,1,7,3,1
svito,Elina Svitolina,Elina,Svitolina,8,2,0.56,0.87,0.41,0.55,0.30,0.09,UKR,31,3,1,7,3,1
mboko,Victoria Mboko,Victoria,Mboko,9,2,0.66,0.74,0.33,0.50,0.42,0.11,CAN,19,0,1,5,5,0
nosko,Linda Noskova,Linda,Noskova,10,2,0.64,0.84,0.35,0.46,0.44,0.13,CZE,21,5,1,9,1,1
mucho,Karolina Muchova,Karolina,Muchova,11,2,0.64,0.92,0.34,0.50,0.47,0.14,CZE,29,5,1,9,1,1
benci,Belinda Bencic,Belinda,Bencic,12,2,0.65,0.87,0.36,0.51,0.41,0.05,SUI,29,0,0,7,3,1
kosty,Marta Kostyuk,Marta,Kostyuk,13,2,0.56,0.89,0.38,0.54,0.45,0.08,UKR,23,0,0,9,1,1
paoli,Jasmine Paolini,Jasmine,Paolini,14,2,0.68,0.95,0.38,0.52,0.38,0.03,ITA,30,0,1,6,4,1
